house_price,rental_agency,postcode1,postcode2,bedrooms,nhood,surface,postcode
1995,Expatservice Amsterdam,1012,NN,3,Nieuwe Kerk e.o.        ,90,1012 NN
3475,City Housing Amsterdam,1012,NN,3,Nieuwe Kerk e.o.        ,130,1012 NN
1300,The Local Feeling,1012,NN,2,Nieuwe Kerk e.o.        ,54,1012 NN
1750,Executive Home Rentals  Amsterdam,1071,HS,2,Cornelis Schuytbuurt        ,55,1071 HS
1700,Klok Real Estate,1071,HS,2,Cornelis Schuytbuurt        ,55,1071 HS
1500,V-Amsterdam,1071,HS,2,Cornelis Schuytbuurt        ,48,1071 HS
1450,Huizenbalie.nl,1055,NV,2,Gibraltarbuurt        ,44,1055 NV
1350,Voogd Makelaardij,1055,NV,1,Gibraltarbuurt        ,35,1055 NV
1850,K2makelaars,1055,NV,3,Gibraltarbuurt        ,65,1055 NV
1001,Urban Short Stay,1079,RH,2,Kop Zuidas        ,46,1079 RH
2750,Prinsen Residence International,1079,RH,3,Kop Zuidas        ,110,1079 RH
1350,Collection Apartments,1079,RH,2,Kop Zuidas        ,45,1079 RH
1500,Alcoco.nl,1072,TC,3,Cornelis Troostbuurt        ,60,1072 TC
2950,Amsterdam Wonen,1072,TC,6,Cornelis Troostbuurt        ,165,1072 TC
1275,BrinkBorgh Makelaardij,1072,TC,1,Cornelis Troostbuurt        ,36,1072 TC
1450,Rappange Makelaardij,1015,KC,2,Anjeliersbuurt Noord        ,75,1015 KC
2300,Jansen Smit Makelaars Taxateurs,1015,KC,2,Anjeliersbuurt Noord        ,92,1015 KC
1400,Smit & Heinen Makelaars en Taxateurs,1015,KC,2,Anjeliersbuurt Noord        ,46,1015 KC
1750,PUUR makelaars Amsterdam-Centrum,1052,SP,3,Frederik Hendrikbuurt Zuidoost        ,63,1052 SP
1850,PUUR Makelaars Amsterdam-Zuid,1052,SP,4,Frederik Hendrikbuurt Zuidoost        ,70,1052 SP
1750,Keizerskroon makelaars,1052,SP,2,Frederik Hendrikbuurt Zuidoost        ,52,1052 SP
3250,NOORESTATE,1073,CL,4,Sarphatiparkbuurt        ,142,1073 CL
1500,Momo Makelaardij en Vastgoed B.V.,1073,CL,2,Sarphatiparkbuurt        ,45,1073 CL
1750,Hollandsche Makelaardij,1073,CL,1,Sarphatiparkbuurt        ,57,1073 CL
2500,Brummel & Beuk Makelaars ,1017,PL,4,Leidsebuurt Zuidwest        ,164,1017 PL
1800,Inxxx Rentals,1017,PL,5,Leidsebuurt Zuidwest        ,95,1017 PL
1650,Interhouse verhuurmakelaars Amsterdam,1017,PL,3,Leidsebuurt Zuidwest        ,80,1017 PL
1650,Van Huis Uit Makelaars,1102,XA,3,Venserpolder Oost        ,73,1102 XA
1850,Grand Relocation,1102,XA,4,Venserpolder Oost        ,60,1102 XA
1750,Keizerskroon makelaars,1102,XA,2,Venserpolder Oost        ,58,1102 XA
1600,TVN Real Estate,1016,GX,2,Felix Meritisbuurt        ,65,1016 GX
1750,Klok Real Estate,1016,GX,3,Felix Meritisbuurt        ,65,1016 GX
1350,Expatservice Amsterdam,1016,GX,2,Felix Meritisbuurt        ,50,1016 GX
2950,Koops Makelaardij Amsterdam,1011,KE,4,Zuiderkerkbuurt        ,100,1011 KE
1900,Klok Real Estate,1011,KE,2,Zuiderkerkbuurt        ,70,1011 KE
1590,LV Housing,1011,KE,2,Zuiderkerkbuurt        ,55,1011 KE
1500,Amsterdamse Maatschappij,1053,WL,2,Da Costabuurt Noord        ,54,1053 WL
1750,Holland Home Management,1053,WL,3,Da Costabuurt Noord        ,61,1053 WL
1535,Van Huis Uit Makelaars,1053,WL,3,Da Costabuurt Noord        ,74,1053 WL
1490,Van Huis Uit Makelaars,1081,BB,3,Buitenveldert Zuidwest        ,60,1081 BB
1850,Expats. Amsterdam Rentals ,1081,BB,4,Buitenveldert Zuidwest        ,110,1081 BB
1595,Expathousing.com (Amsterdam) ,1081,BB,3,Buitenveldert Zuidwest        ,69,1081 BB
1700,Unlimited Housing,1012,MR,2,Nieuwendijk Noord        ,62,1012 MR
1500,Out Amsterdam,1012,MR,3,Nieuwendijk Noord        ,78,1012 MR
1650,Expats. Amsterdam Rentals ,1012,MR,2,Nieuwendijk Noord        ,60,1012 MR
1495,Huizenbalie.nl,1078,KG,3,Wielingenbuurt        ,62,1078 KG
1375,AmsterHomes,1078,KG,2,Wielingenbuurt        ,40,1078 KG
1450,ISAAK Makelaardij o.g. B.V.,1078,KG,2,Wielingenbuurt        ,54,1078 KG
1800,Valerius Rentals,1072,PL,3,Cornelis Troostbuurt        ,65,1072 PL
1095,City Housing Amsterdam,1072,PL,1,Cornelis Troostbuurt        ,30,1072 PL
1450,Compass Housing Amsterdam,1072,PL,4,Cornelis Troostbuurt        ,85,1072 PL
1950,Amsterdam Housing,1013,VN,3,Spaarndammerbuurt Zuidwest        ,101,1013 VN
1430,Van Huis Uit Makelaars,1013,VN,3,Spaarndammerbuurt Zuidwest        ,96,1013 VN
1550,AmsterHomes,1013,VN,2,Spaarndammerbuurt Zuidwest        ,50,1013 VN
1500,AmsterHomes,1054,TX,2,Cremerbuurt West        ,50,1054 TX
1350,Amsterdam Rental Homes,1054,TX,2,Cremerbuurt West        ,50,1054 TX
1430,Van Huis Uit Makelaars,1054,TX,3,Cremerbuurt West        ,96,1054 TX
2250,Amsterdam Housing,1074,XE,3,Willibrordusbuurt        ,85,1074 XE
1600,Amsterdam Rental Homes,1074,XE,3,Willibrordusbuurt        ,58,1074 XE
1750,Out Amsterdam,1074,XE,3,Willibrordusbuurt        ,60,1074 XE
1500,Relocation Advisers B.V.,1071,VA,2,Duivelseiland        ,60,1071 VA
1375,Aham Vastgoed,1071,VA,2,Duivelseiland        ,43,1071 VA
1600,AmsterHomes,1071,VA,3,Duivelseiland        ,70,1071 VA
1500,Inxxx Rentals,1071,JD,2,Cornelis Schuytbuurt        ,60,1071 JD
1995,Expatservice Amsterdam,1071,JD,3,Cornelis Schuytbuurt        ,90,1071 JD
2950,Koops Makelaardij Amsterdam,1071,JD,4,Cornelis Schuytbuurt        ,100,1071 JD
1700,Eefje Voogd Makelaardij,1053,ZK,3,Da Costabuurt Zuid        ,61,1053 ZK
1250,Expats. Amsterdam Rentals ,1053,ZK,2,Da Costabuurt Zuid        ,40,1053 ZK
1500,Amsterdam Housing,1053,ZK,3,Da Costabuurt Zuid        ,74,1053 ZK
1650,HousingNet,1017,JV,3,Leidsegracht Zuid        ,80,1017 JV
2700,RE/MAX Pro,1017,JV,3,Leidsegracht Zuid        ,114,1017 JV
2300,NOORESTATE,1017,JV,3,Leidsegracht Zuid        ,90,1017 JV
1600,Relocation Advisers B.V.,1083,GC,3,Buitenveldert Oost Midden        ,70,1083 GC
1600,Valerius Rentals,1083,GC,2,Buitenveldert Oost Midden        ,42,1083 GC
1600,HousingNet,1083,GC,3,Buitenveldert Oost Midden        ,75,1083 GC
1600,Allround Housing,1094,SB,3,Zuidwestkwadrant Indische buurt        ,70,1094 SB
1395,Rosmuller Makelaars,1094,SB,2,Zuidwestkwadrant Indische buurt        ,50,1094 SB
1500,Your Home Makelaardij,1094,SB,3,Zuidwestkwadrant Indische buurt        ,80,1094 SB
1785,NederWoon verhuurmakelaars Amersfoort,1056,JA,3,Trompbuurt        ,63,1056 JA
1700,Amsterdam House Hunting,1056,JA,3,Trompbuurt        ,55,1056 JA
1500,HousingNet,1056,JA,2,Trompbuurt        ,65,1056 JA
1750,HousingNet,1058,XH,4,Paramariboplein e.o.        ,100,1058 XH
1225,Amsterdam Housing,1058,XH,2,Paramariboplein e.o.        ,65,1058 XH
1850,Collection Apartments,1058,XH,3,Paramariboplein e.o.        ,75,1058 XH
1750,Collection Apartments,1074,BS,3,Hemonybuurt        ,65,1074 BS
2100,Expathousing.com (Amsterdam) ,1074,BS,5,Hemonybuurt        ,140,1074 BS
1425,Rosmuller Makelaars,1074,BS,3,Hemonybuurt        ,75,1074 BS
1510,Van Huis Uit Makelaars,1073,GL,2,Van der Helstpleinbuurt        ,57,1073 GL
1700,PUUR Makelaars Amsterdam-Zuid,1073,GL,3,Van der Helstpleinbuurt        ,74,1073 GL
1400,ViaDaan,1073,GL,2,Van der Helstpleinbuurt        ,54,1073 GL
1950,ViaDaan,1016,LK,3,Bloemgrachtbuurt        ,70,1016 LK
1575,BBP o.g. Beheer,1016,LK,2,Bloemgrachtbuurt        ,65,1016 LK
1375,Ramon Mossel Makelaardij,1016,LK,2,Bloemgrachtbuurt        ,45,1016 LK
1750,Grand Apartments Amsterdam,1013,LC,4,Zeeheldenbuurt        ,105,1013 LC
1950,Prinsen Residence International,1013,LC,3,Zeeheldenbuurt        ,85,1013 LC
3300,Comfortable Staff Housing,1013,LC,3,Zeeheldenbuurt        ,120,1013 LC
3475,City Housing Amsterdam,1012,SB,3,Hemelrijk        ,130,1012 SB
2950,Koops Makelaardij Amsterdam,1012,SB,4,Hemelrijk        ,100,1012 SB
2650,Peter Bruin Makelaardij,1012,SB,3,Hemelrijk        ,120,1012 SB
1395,Mar. J. Heule,1018,SX,3,de Plantage        ,50,1018 SX
1375,Mar. J. Heule,1018,SX,2,de Plantage        ,60,1018 SX
1450,Keij & Stefels Makelaars en Taxateurs,1018,SX,2,de Plantage        ,51,1018 SX
1700,BrinkBorgh Makelaardij,1078,MX,3,Scheldebuurt Midden        ,70,1078 MX
1500,De Groot & Compagnons,1078,MX,4,Scheldebuurt Midden        ,94,1078 MX
1650,JLG Real Estate,1078,MX,3,Scheldebuurt Midden        ,63,1078 MX
1800,JLG Real Estate,1054,KM,3,Vondelparkbuurt West        ,88,1054 KM
1500,JLG Real Estate,1054,KM,3,Vondelparkbuurt West        ,67,1054 KM
1500,JLG Real Estate,1054,KM,2,Vondelparkbuurt West        ,55,1054 KM
1500,Lens Real Estate,1017,PG,1,Leidsebuurt Noordwest        ,54,1017 PG
1550,Lens Real Estate,1017,PG,2,Leidsebuurt Noordwest        ,50,1017 PG
4100,Hoen Makelaars B.V.,1017,PG,3,Leidsebuurt Noordwest        ,175,1017 PG
2750,Rappange Makelaardij,1074,CP,4,Hemonybuurt        ,180,1074 CP
2300,Makelaarshuis Amsterdam - Zaanstad,1074,CP,4,Hemonybuurt        ,130,1074 CP
1600,The Rental Agency Amsterdam,1074,CP,2,Hemonybuurt        ,60,1074 CP
1150,Housing Experts,1057,DL,2,Orteliusbuurt Zuid        ,40,1057 DL
1495,Homecrew,1057,DL,2,Orteliusbuurt Zuid        ,49,1057 DL
1450,Relocation-Amsterdam,1057,DL,2,Orteliusbuurt Zuid        ,44,1057 DL
1650,City Homes,1074,XK,3,Willibrordusbuurt        ,53,1074 XK
1495,City Homes,1074,XK,2,Willibrordusbuurt        ,50,1074 XK
5500,Comfortable Staff Housing,1074,XK,3,Willibrordusbuurt        ,181,1074 XK
1500,Mijn Huis Makelaardij,1068,JD,2,Calandlaan/Lelylaan        ,50,1068 JD
1675,Mijn Huis Makelaardij,1068,JD,2,Calandlaan/Lelylaan        ,65,1068 JD
1495,Expathousing.com (Amsterdam) ,1068,JD,2,Calandlaan/Lelylaan        ,52,1068 JD
1095,Expathousing.com (Amsterdam) ,1055,PK,2,Bedrijventerrein Landlust        ,30,1055 PK
1550,Expathousing.com (Amsterdam) ,1055,PK,2,Bedrijventerrein Landlust        ,55,1055 PK
2950,Koops Makelaardij Amsterdam,1055,PK,4,Bedrijventerrein Landlust        ,100,1055 PK
1550,Rosmuller Makelaars,1078,MX,3,Scheldebuurt Midden        ,60,1078 MX
1900,Amsterdam Housing,1078,MX,2,Scheldebuurt Midden        ,55,1078 MX
2950,Koops Makelaardij Amsterdam,1078,MX,4,Scheldebuurt Midden        ,100,1078 MX
3475,City Housing Amsterdam,1016,TR,3,Elandsgrachtbuurt        ,130,1016 TR
1375,Hakkenbroek Housing Company,1016,TR,2,Elandsgrachtbuurt        ,58,1016 TR
1800,Jimble,1016,TR,2,Elandsgrachtbuurt        ,75,1016 TR
1600,123Wonen Amsterdam,1011,EL,2,Lastage        ,58,1011 EL
2900,Dutch Housing Centre BV,1011,EL,4,Lastage        ,140,1011 EL
1650,Relocation Advisers B.V.,1011,EL,3,Lastage        ,75,1011 EL
1820,Eefje Voogd Makelaardij,1074,AJ,3,Willibrordusbuurt        ,67,1074 AJ
2995,Eefje Voogd Makelaardij,1074,AJ,4,Willibrordusbuurt        ,100,1074 AJ
2850,Inxxx Rentals,1074,AJ,5,Willibrordusbuurt        ,153,1074 AJ
1150,Vastgoed Unie Makelaardij ,1018,XB,1,Sarphatistrook        ,25,1018 XB
1445,Grand Relocation,1018,XB,3,Sarphatistrook        ,100,1018 XB
2100,Dutch Housing Centre BV,1018,XB,4,Sarphatistrook        ,83,1018 XB
1550,Rosmuller Makelaars,1018,PA,3,Czaar Peterbuurt        ,60,1018 PA
2495,ViaDaan,1018,PA,3,Czaar Peterbuurt        ,120,1018 PA
3200,Eefje Voogd Makelaardij,1018,PA,5,Czaar Peterbuurt        ,152,1018 PA
1500,Amsterdam Housing,1053,AG,3,Bellamybuurt Noord        ,61,1053 AG
1100,Vastgoed Unie Makelaardij ,1053,AG,1,Bellamybuurt Noord        ,24,1053 AG
